0,1,2,3,4,5,6,7
52,1,2,[567 481 396],[533 498 523],10.69811320754717,9.39622641509434,0.5824175824175821
53,1,2,[577 499 400],[542 508 536],10.685185185185185,9.407407407407407,0.5824175824175821
54,1,2,[587 517 404],[551 518 549],10.672727272727272,9.418181818181818,0.5824175824175821
55,1,2,[597 535 408],[560 528 562],10.660714285714286,9.428571428571429,0.5824175824175821
56,1,2,[607 553 412],[569 538 575],10.649122807017545,9.43859649122807,0.5824175824175821
57,1,2,[617 571 416],[578 548 588],10.637931034482758,9.448275862068966,0.5824175824175821
58,1,2,[627 589 420],[587 558 601],10.627118644067796,9.457627118644067,0.5824175824175821
59,1,2,[637 607 424],[596 568 614],10.616666666666667,9.466666666666667,0.5824175824175821
60,1,2,[647 625 428],[605 578 627],10.60655737704918,9.475409836065573,0.5824175824175821
61,1,2,[657 643 432],[614 588 640],10.596774193548388,9.483870967741936,0.5824175824175821
62,1,2,[667 661 436],[623 598 653],10.587301587301587,9.492063492063492,0.5824175824175821
63,1,2,[677 679 440],[632 608 666],10.609375,9.5,0.5824175824175821
64,2,2,[687 697 444],[633 626 677],10.723076923076922,9.63076923076923,0.523076923076923
65,2,2,[697 715 448],[634 644 688],10.833333333333334,9.606060606060606,0.523076923076923
66,2,1,[706 716 465],[635 662 699],10.686567164179104,9.477611940298507,0.523076923076923
67,2,1,[715 717 482],[636 680 710],10.544117647058824,9.352941176470589,0.523076923076923
68,2,1,[724 718 499],[637 698 721],10.492753623188406,9.231884057971014,0.523076923076923
69,1,1,[733 719 516],[646 708 734],10.471428571428572,9.228571428571428,0.523076923076923
70,1,1,[742 720 533],[655 718 747],10.450704225352112,9.225352112676056,0.523076923076923
71,1,1,[751 721 550],[664 728 760],10.430555555555555,9.222222222222221,0.523076923076923
72,1,1,[760 722 567],[673 738 773],10.41095890410959,9.219178082191782,0.523076923076923
73,1,1,[769 723 584],[682 748 786],10.391891891891891,9.216216216216216,0.523076923076923
74,1,1,[778 724 601],[691 758 799],10.373333333333333,9.213333333333333,0.523076923076923
75,1,1,[787 725 618],[700 768 812],10.355263157894736,9.210526315789474,0.523076923076923
76,1,1,[796 726 635],[709 778 825],10.337662337662337,9.207792207792208,0.523076923076923
77,1,1,[805 727 652],[718 788 838],10.320512820512821,9.205128205128204,0.523076923076923
78,1,1,[814 728 669],[727 798 851],10.30379746835443,9.20253164556962,0.523076923076923
79,1,1,[823 729 686],[736 808 864],10.2875,9.2,0.523076923076923
80,1,1,[832 730 703],[745 818 877],10.271604938271604,9.197530864197532,0.523076923076923
81,1,1,[841 731 720],[754 828 890],10.25609756097561,9.195121951219512,0.523076923076923
82,1,1,[850 732 737],[763 838 903],10.240963855421686,9.19277108433735,0.523076923076923
83,1,1,[859 733 754],[772 848 916],10.226190476190476,9.19047619047619,0.523076923076923
84,1,1,[868 734 771],[781 858 929],10.211764705882352,9.188235294117646,0.523076923076923
85,1,1,[877 735 788],[790 868 942],10.19767441860465,9.186046511627907,0.523076923076923
86,1,1,[886 736 805],[799 878 955],10.183908045977011,9.183908045977011,0.523076923076923
87,1,1,[895 737 822],[808 888 968],10.170454545454545,9.181818181818182,0.523076923076923
88,1,1,[904 738 839],[817 898 981],10.157303370786517,9.179775280898877,0.523076923076923
89,1,1,[913 739 856],[826 908 994],10.144444444444444,9.177777777777777,0.5136752136752136
90,1,1,[922 740 873],[ 835  918 1007],10.131868131868131,9.175824175824175,0.5010989010989011
91,1,1,[931 741 890],[ 844  928 1020],10.119565217391305,9.173913043478262,0.48879598662207435
92,1,1,[940 742 907],[ 853  938 1033],10.10752688172043,9.172043010752688,0.4767576509511997
93,1,1,[949 743 924],[ 862  948 1046],10.095744680851064,9.170212765957446,0.46497545008183394
94,1,1,[958 744 941],[ 871  958 1059],10.08421052631579,9.16842105263158,0.45344129554655943
95,1,1,[967 745 958],[ 880  968 1072],10.072916666666666,9.166666666666666,0.44214743589743577
96,1,1,[976 746 975],[ 889  978 1085],10.061855670103093,9.164948453608247,0.43108643933386226
97,1,1,[985 747 992],[ 898  988 1098],10.122448979591837,9.16326530612245,0.43108643933386226
98,3,1,[ 994  748 1009],[ 915  992 1098],10.191919191919192,9.242424242424242,0.43108643933386226
99,3,1,[1003  749 1026],[ 932  996 1098],10.26,9.32,0.43108643933386226
100,3,1,[1012  750 1043],[ 949 1000 1098],10.326732673267326,9.396039603960396,0.43108643933386226
101,3,1,[1021  751 1060],[ 966 1004 1098],10.392156862745098,9.470588235294118,0.43108643933386226
102,3,1,[1030  752 1077],[ 983 1008 1098],10.45631067961165,9.54368932038835,0.43108643933386226
103,3,1,[1039  753 1094],[1000 1012 1098],10.51923076923077,9.615384615384615,0.43108643933386226
104,3,1,[1048  754 1111],[1017 1016 1098],10.58095238095238,9.676190476190476,0.385665193912617
105,3,2,[1058  772 1115],[1034 1020 1098],10.518867924528301,9.622641509433961,0.385665193912617
106,3,2,[1068  790 1119],[1051 1024 1098],10.457943925233645,9.570093457943925,0.385665193912617
107,3,2,[1078  808 1123],[1068 1028 1098],10.398148148148149,9.518518518518519,0.385665193912617
108,3,2,[1088  826 1127],[1085 1032 1098],10.339449541284404,9.46788990825688,0.385665193912617
109,3,2,[1098  844 1131],[1102 1036 1098],10.281818181818181,9.418181818181818,0.385665193912617
110,3,2,[1108  862 1135],[1119 1040 1098],10.225225225225225,9.36936936936937,0.385665193912617
111,3,2,[1118  880 1139],[1136 1044 1098],10.169642857142858,9.321428571428571,0.385665193912617
